Connecticut,4/5/21,53900
Maine,4/5/21,20600
Massachusetts,4/5/21,103800
New Hampshire,4/5/21,20600
Rhode Island,4/5/21,16200
Vermont,4/5/21,9700
New Jersey,4/5/21,131600
New York,4/5/21,167600
New York City,4/5/21,127200
Puerto Rico,4/5/21,51400
U.S. Virgin Islands,4/5/21,1600
Delaware,4/5/21,14300
District of Columbia,4/5/21,10800
Maryland,4/5/21,88800
Pennsylvania,4/5/21,169200
Philadelphia,4/5/21,23500
Virginia,4/5/21,124700
West Virginia,4/5/21,27800
Alabama,4/5/21,71800
Florida,4/5/21,313200
Georgia,4/5/21,148500
Kentucky,4/5/21,65300
Mississippi,4/5/21,43200
North Carolina,4/5/21,149800
South Carolina,4/5/21,73500
Tennessee,4/5/21,98100
Chicago,4/5/21,39900
Illinois,4/5/21,148600
Indiana,4/5/21,96500
Michigan,4/5/21,147800
Minnesota,4/5/21,80800
Ohio,4/5/21,171900
Wisconsin,4/5/21,85900
Arkansas,4/5/21,43500
Louisiana,4/5/21,67700
New Mexico,4/5/21,30800
Oklahoma,4/5/21,56400
Texas,4/5/21,392100
Iowa,4/5/21,45800
Kansas,4/5/21,41800
Missouri,4/5/21,89600
Nebraska,4/5/21,27600
Colorado,4/5/21,81400
Montana,4/5/21,15600
North Dakota,4/5/21,11300
South Dakota,4/5/21,12500
Utah,4/5/21,40700
Wyoming,4/5/21,8500
Arizona,4/5/21,101700
California,4/5/21,572700
Hawaii,4/5/21,21300
Nevada,4/5/21,42900
American Samoa,4/5/21,3700
Guam,4/5/21,16900
Marshall Islands,4/5/21,9600
Micronesia,4/5/21,15900
Mariana Islands,4/5/21,1600
Palau,4/5/21,3200
Alaska,4/5/21,15800
Idaho,4/5/21,23800
Oregon,4/5/21,61400
Washington,4/5/21,109000
Federal Entities,4/5/21,84600
Connecticut,3/29/21,21200
Maine,3/29/21,8100
Massachusetts,3/29/21,40800
New Hampshire,3/29/21,8100
Rhode Island,3/29/21,6400
Vermont,3/29/21,3900
New Jersey,3/29/21,51700
New York,3/29/21,65800
New York City,3/29/21,49900
Puerto Rico,3/29/21,20300
U.S. Virgin Islands,3/29/21,700
Delaware,3/29/21,5600
District of Columbia,3/29/21,4300
Maryland,3/29/21,34900
Pennsylvania,3/29/21,66400
Philadelphia,3/29/21,9200
Virginia,3/29/21,49000
West Virginia,3/29/21,11000
Alabama,3/29/21,28300
Florida,3/29/21,122900
Georgia,3/29/21,58400
Kentucky,3/29/21,25700
Mississippi,3/29/21,17100
North Carolina,3/29/21,58800
South Carolina,3/29/21,28900
Tennessee,3/29/21,38600
Chicago,3/29/21,15700
Illinois,3/29/21,58400
Indiana,3/29/21,38000
Michigan,3/29/21,58100
Minnesota,3/29/21,31800
Ohio,3/29/21,67400
Wisconsin,3/29/21,33800
Arkansas,3/29/21,17200
Louisiana,3/29/21,26600
New Mexico,3/29/21,12100
Oklahoma,3/29/21,22200
Texas,3/29/21,153900
Iowa,3/29/21,18100
Kansas,3/29/21,16500
Missouri,3/29/21,35200
Nebraska,3/29/21,10900
Colorado,3/29/21,32000
Montana,3/29/21,6100
North Dakota,3/29/21,4500
South Dakota,3/29/21,5000
Utah,3/29/21,16100
Wyoming,3/29/21,3400
Arizona,3/29/21,40000
California,3/29/21,224600
Hawaii,3/29/21,8400
Nevada,3/29/21,16900
American Samoa,3/29/21,300
Guam,3/29/21,900
Marshall Islands,3/29/21,400
Micronesia,3/29/21,600
Mariana Islands,3/29/21,400
Palau,3/29/21,200
Alaska,3/29/21,6300
Idaho,3/29/21,9500
Oregon,3/29/21,24200
Washington,3/29/21,42800
Federal Entities,3/29/21,16700
Connecticut,3/22/21,4200
Maine,3/22/21,1600
Massachusetts,3/22/21,8000
New Hampshire,3/22/21,1600
Rhode Island,3/22/21,1300
Vermont,3/22/21,800
New Jersey,3/22/21,10200
New York,3/22/21,12900
New York City,3/22/21,9800
Puerto Rico,3/22/21,4000
U.S. Virgin Islands,3/22/21,200
Delaware,3/22/21,1100
District of Columbia,3/22/21,900
Maryland,3/22/21,6900
Pennsylvania,3/22/21,13000
Philadelphia,3/22/21,1800
Virginia,3/22/21,9600
West Virginia,3/22/21,2200
Alabama,3/22/21,5600
Florida,3/22/21,24100
Georgia,3/22/21,11500
Kentucky,3/22/21,5100
Mississippi,3/22/21,3400
North Carolina,3/22/21,11500
South Carolina,3/22/21,5700
Tennessee,3/22/21,7600
Chicago,3/22/21,3100
Illinois,3/22/21,11500
Indiana,3/22/21,7500
Michigan,3/22/21,11400
Minnesota,3/22/21,6300
Ohio,3/22/21,13200
Wisconsin,3/22/21,6700
Arkansas,3/22/21,3400
Louisiana,3/22/21,5200
New Mexico,3/22/21,2400
Oklahoma,3/22/21,4400
Texas,3/22/21,30200
Iowa,3/22/21,3600
Kansas,3/22/21,3300
Missouri,3/22/21,6900
Nebraska,3/22/21,2200
Colorado,3/22/21,6300
Montana,3/22/21,1200
North Dakota,3/22/21,900
South Dakota,3/22/21,1000
Utah,3/22/21,3200
Wyoming,3/22/21,700
Arizona,3/22/21,7900
California,3/22/21,44000
Hawaii,3/22/21,1700
Nevada,3/22/21,3300
American Samoa,3/22/21,100
Guam,3/22/21,200
Marshall Islands,3/22/21,100
Micronesia,3/22/21,100
Mariana Islands,3/22/21,100
Palau,3/22/21,100
Alaska,3/22/21,1300
Idaho,3/22/21,1900
Oregon,3/22/21,4800
Washington,3/22/21,8400
Federal Entities,3/22/21,16700
Connecticut,3/15/21,4200
Maine,3/15/21,1600
Massachusetts,3/15/21,8000
New Hampshire,3/15/21,1600
Rhode Island,3/15/21,1300
Vermont,3/15/21,800
New Jersey,3/15/21,10200
New York,3/15/21,12900
New York City,3/15/21,9800
Puerto Rico,3/15/21,4000
U.S. Virgin Islands,3/15/21,200
Delaware,3/15/21,1100
District of Columbia,3/15/21,900
Maryland,3/15/21,6900
Pennsylvania,3/15/21,13000
Philadelphia,3/15/21,1800
Virginia,3/15/21,9600
West Virginia,3/15/21,2200
Alabama,3/15/21,5600
Florida,3/15/21,24100
Georgia,3/15/21,11500
Kentucky,3/15/21,5100
Mississippi,3/15/21,3400
North Carolina,3/15/21,11500
South Carolina,3/15/21,5700
Tennessee,3/15/21,7600
Chicago,3/15/21,3100
Illinois,3/15/21,11500
Indiana,3/15/21,7500
Michigan,3/15/21,11400
Minnesota,3/15/21,6300
Ohio,3/15/21,13200
Wisconsin,3/15/21,6700
Arkansas,3/15/21,3400
Louisiana,3/15/21,5200
New Mexico,3/15/21,2400
Oklahoma,3/15/21,4400
Texas,3/15/21,30200
Iowa,3/15/21,3600
Kansas,3/15/21,3300
Missouri,3/15/21,6900
Nebraska,3/15/21,2200
Colorado,3/15/21,6300
Montana,3/15/21,1200
North Dakota,3/15/21,900
South Dakota,3/15/21,1000
Utah,3/15/21,3200
Wyoming,3/15/21,700
Arizona,3/15/21,7900
California,3/15/21,44000
Hawaii,3/15/21,1700
Nevada,3/15/21,3300
American Samoa,3/15/21,100
Guam,3/15/21,200
Marshall Islands,3/15/21,100
Micronesia,3/15/21,100
Mariana Islands,3/15/21,100
Palau,3/15/21,100
Alaska,3/15/21,1300
Idaho,3/15/21,1900
Oregon,3/15/21,4800
Washington,3/15/21,8400
Federal Entities,3/15/21,120500
Connecticut,3/1/21,30200
Maine,3/1/21,11500
Massachusetts,3/1/21,58100
New Hampshire,3/1/21,11600
Rhode Island,3/1/21,9100
Vermont,3/1/21,5400
New Jersey,3/1/21,73600
New York,3/1/21,93700
New York City,3/1/21,71100
Puerto Rico,3/1/21,28800
U.S. Virgin Islands,3/1/21,900
Delaware,3/1/21,8000
District of Columbia,3/1/21,6000
Maryland,3/1/21,49600
Pennsylvania,3/1/21,94600
Philadelphia,3/1/21,13100
Virginia,3/1/21,69700
West Virginia,3/1/21,15500
Alabama,3/1/21,40100
Florida,3/1/21,175100
Georgia,3/1/21,83000
Kentucky,3/1/21,36500
Mississippi,3/1/21,24200
North Carolina,3/1/21,83700
South Carolina,3/1/21,41100
Tennessee,3/1/21,54800
Chicago,3/1/21,22300
Illinois,3/1/21,83100
Indiana,3/1/21,53900
Michigan,3/1/21,82700
Minnesota,3/1/21,45200
Ohio,3/1/21,96100
Wisconsin,3/1/21,48000
Arkansas,3/1/21,24400
Louisiana,3/1/21,37900
New Mexico,3/1/21,17200
Oklahoma,3/1/21,31500
Texas,3/1/21,219200
Iowa,3/1/21,25600
Kansas,3/1/21,23400
Missouri,3/1/21,50100
Nebraska,3/1/21,15500
Colorado,3/1/21,45500
Montana,3/1/21,8700
North Dakota,3/1/21,6300
South Dakota,3/1/21,7000
Utah,3/1/21,22800
Wyoming,3/1/21,4800
Arizona,3/1/21,56800
California,3/1/21,320100
Hawaii,3/1/21,11900
Nevada,3/1/21,24000
American Samoa,3/1/21,400
Guam,3/1/21,1300
Marshall Islands,3/1/21,600
Micronesia,3/1/21,800
Mariana Islands,3/1/21,400
Palau,3/1/21,200
Alaska,3/1/21,8900
Idaho,3/1/21,13300
Oregon,3/1/21,34400
Washington,3/1/21,60900
Federal Entities,3/1/21,139200