California,3665566
Texas,2789428
Florida,2052441
New York,1865349
Illinois,1241903
Georgia,1057741
Pennsylvania,1022992
Ohio,1015577
North Carolina,912203
New Jersey,905144
Arizona,841078
Tennessee,810529
Michigan,739244
Indiana,685453
Wisconsin,635314
Massachusetts,633081
Virginia,617941
Missouri,580980
South Carolina,550669
Minnesota,517881
Alabama,514980
Colorado,460318
Louisiana,444414
Oklahoma,437974
Kentucky,426073
Maryland,409978
Utah,385127
Washington,363235
Iowa,350756
Arkansas,330186
Connecticut,310056
Mississippi,304858
Nevada,303494
Kansas,303443
Nebraska,208912
New Mexico,191377
Idaho,180076
Oregon,164570
West Virginia,141322
Rhode Island,136765
South Dakota,117495
Puerto Rico,107105
Montana,104321
North Dakota,102880
Delaware,94573
New Hampshire,83714
Alaska,62797
Wyoming,56236
Maine,50253
District of Columbia,44413
Hawaii,30654
Vermont,19109
Guam,7805
U.S. Virgin Islands,2907
Northern Mariana Islands,159
Marshall Islands,4
American Samoa,0
Micronesia,0
Palau,0